"sujet";"categorie";"motif"
Achat;ACHAT-INF;ACH-INF-ABONNEMENT WIDO
Achat;ACHAT-INF;ACH-INF-ABONNEMENT WIDO
Achat;ACHAT-INF;ACH-INF-ACHAT ILLIMIX POUR TIERS VIA TRANSFERT PAYS
Achat;ACHAT-INF;ACH-INF-ACHAT ILLIMIX POUR TIERS VIA TRANSFERT PAYS
Achat;ACHAT-INF;ACH-INF-ACHAT PASS POUR TIERS VIA TRANSFERT PAYS
Achat;ACHAT-INF;ACH-INF-ACHAT PASS POUR TIERS VIA TRANSFERT PAYS
Achat;ACHAT-INF;ACH-INF-CON-FAC-TAR-DAT-SOLDE PASS INTERNET
Achat;ACHAT-INF;ACH-INF-CON-FAC-VERIFICATION SOLDE
Achat;ACHAT-INF;ACH-INF-DEMANDES D'INFO ACHAT DE CREDIT VIA WAVE
Achat;ACHAT-INF;ACH-INF-DEMANDES D'INFO ACHAT DE CREDIT VIA WAVE
Achat;ACHAT-INF;ACH-INF-MON- DEMANDE INFO EVOLUTION GRILLE TARIFAIRE
Achat;ACHAT-INF;ACH-INF-MON- DEMANDE INFO EVOLUTION GRILLE TARIFAIRE
Achat;ACHAT-INF;ACH-INF-MON-ACH-DE-PAS-DEMANDE D'ACH-INFORMATION (PRINCIPE,ELIGIBILITE)
Achat;ACHAT-INF;ACH-INF-MON-DEP-DEMANDE D’INFOS DEPOT DISTANT
Achat;ACHAT-INF;ACH-INF-MON-DEP-DEMANDE D’INFOS DEPOT DISTANT
Achat;ACHAT-INF- SMS;ACH-INF-CON-FAC-TAR-DAT-SOLDE PASS INTERNET
Achat;ACHAT-INF- SMS;ACH-INF-CON-FAC-VERIFICATION SOLDE
Achat;ACHAT-INF- SMS;ACH-INF-MON-ACH-DE-CRE-DEMANDE D'ACH-INFORMATION (PRINCIPE,ELIGIBILITE)
Achat;ACHAT-INF- SMS;ACH-INF-MON-ACH-DE-CRE-DEMANDE D'ACH-INFORMATION (PRINCIPE,ELIGIBILITE)
Achat;ACHAT-INF- SMS;ACH-INF-MON-ACH-DE-PAS-DEMANDE D'ACH-INFORMATION (PRINCIPE,ELIGIBILITE)
Achat;ACHAT-INF- SMS;ACH-INF-MON-ACH-D'I-DEMANDE D'ACH-INFORMATION (PRINCIPE,ELIGIBILITE)
